loadingOrder,timestamp,longitude,latitude,speed,direction,carrierName,vesselMMSI,onboardDate,TRANSPORT_TRACE,longitude_y,latitude_y,disarrive
AB674675500650,2020-06-01 23:57:55+00:00,-79.88525,9.369717,0.0,8600.0,17,1153,2020/06/01  00:01:00,10,-69.638318,18.425821,1493.7780692025863
AC710522369160,2020-06-09 23:59:41+00:00,113.926597,22.354962,25.0,12070.0,8,979,2020/06/09  23:17:00,15,106.881179,-6.119484,3255.7437436137848
AD584528667006,2020-06-02 23:59:14+00:00,11.66483,37.218727,27.0,30400.0,17,7,2020/06/02  03:33:34,40,3.10751,36.781427,760.7409188732745
AD852352572660,2020-06-10 23:53:04+00:00,113.80856,21.53508,32.0,18600.0,13,318,2020/06/10  18:56:00,2,55.04979,25.022073,5964.22545443156
AE378244933121,2020-06-01 23:52:32+00:00,64.17128000000001,10.118587,34.0,28680.0,7,1071,2020/06/01  00:06:13,12,32.353762,31.207422,4027.704826853768
AE563102255135,2020-01-06 07:59:18+00:00,68.708373,-12.27066,29.0,23830.0,13,65,2019/12/26  00:24:00,35,-58.35677,-34.627862,12372.36660517354
AI823168582586,2019-08-29 05:48:38+00:00,120.821885,25.145718,39.0,5210.0,11,1031,2019/08/27  02:51:00,51,-104.305571,19.085961,13077.807107039556
AJ216944869611,2019-05-16 08:36:58+00:00,120.333045,24.27211,37.0,3280.0,11,271,2019/05/13  03:00:00,54,-79.88299,9.352609,15669.904450258835
AM438554857021,2019-06-26 15:50:48+00:00,121.186018,25.422847,36.0,5590.0,11,1010,2019/06/24  08:17:00,54,-79.88299,9.352609,15515.814242892287
AO528516733940,2020-03-22 15:54:28+00:00,114.409007,21.956598,32.0,13750.0,11,905,2020/03/22  12:30:00,30,103.70462,1.303141,2570.650636877461
AO655991016753,2020-06-01 23:58:19+00:00,-8.139864999999999,36.45943,35.0,28490.0,13,769,2020/06/01  00:02:00,43,1.313896,51.963177,1876.5070961248584
AU519817397095,2020-06-01 23:52:32+00:00,64.17128000000001,10.118587,34.0,28680.0,7,1071,2020/06/01  00:06:00,12,32.353762,31.207422,4027.704826853768
AW455775168930,2020-06-01 23:58:36+00:00,117.428108,23.29077,30.0,7000.0,22,771,2020/06/01  08:54:00,21,126.626175,37.401819,1796.8207102610113
BD682197383786,2020-06-01 23:53:05+00:00,70.50262,18.906017,24.0,32600.0,9,674,2020/06/01  00:00:10,27,67.333229,24.774487,729.3925523596691
BH596683987230,2020-06-03 23:58:58+00:00,2.149525,41.309507,0.0,21080.0,7,176,2020/06/03  19:40:56,47,8.946256,44.40565,651.5240489693894
BH740935821538,2019-06-02 20:10:18+00:00,122.628683,29.812783000000003,0.0,17210.0,11,1016,2019/05/28  00:59:00,51,-104.305571,19.085961,12602.860247484934
BQ769160197875,2019-11-07 06:21:08+00:00,120.427822,24.616688,36.0,3940.0,11,1031,2019/11/05  05:33:00,51,-104.305571,19.085961,13146.324848310847
